Palmas2022,Cuestionarios gamificados,Recompensas,,,,
GascaHurtado2021,Puntos,Cuestionarios gamificados,Tablero de posiciones,Competencia,Cuenta regresiva,,
Lee2021,Cuestionarios gamificados,,,,,
Gough2021,Puntos,Competencia,,,,
Zhang2021,Cuestionarios gamificados,Retos,Pistas visuales,,,
Skalka2021,Puntos,Insignias,,,,
Ng2021,Puntos,Tablero de posiciones,Competencia,Barras de progreso,Recompensas,Cuestionarios gamificados
Yusri2021,Puntos,Tablero de posiciones,Insignias,Avatares,Equipos,
Cheng2020,Insignias,,,,,
Norsanto2018,Puntos,Misiones,Insignias,Niveles,Tablero de posiciones,
