Palmas2022,Microcontenidos, Microevaluaciones, Microjuego, Podcast cortos, Notificaciones push, Uso en móvil, Acceso en cualquier momento y desde cualquier lugar
GascaHurtado2021,Microcontenidos, Microevaluaciones, Microjuego, Uso en móvil, Acceso en cualquier momento y desde cualquier lugar,,
Lee2021,Microcontenidos, Microevaluaciones, Uso en móvil, Acceso en cualquier momento y desde cualquier lugar,,,
Gough2021,Microevaluaciones, Repetición espaciada, Uso en móvil, Acceso en cualquier momento y desde cualquier lugar,,,
Zhang2021,Microcontenidos, Notificaciones push, Microevaluaciones, Uso en móvil, Acceso en cualquier momento y desde cualquier lugar,,
Skalka2021,Microcontenidos, Microevaluaciones, Uso en móvil, Uso en PC,,,
Ng2021,Microcontenidos, Microevaluaciones, Uso en móvil, Acceso en cualquier momento y desde cualquier lugar,,,
Yusri2021,Microcontenidos, Microevaluaciones, Uso en PC,,,,
Cheng2020,Insignias instruccionales, Microcontenidos,,,,,
Norsanto2018,Microcontenidos, Uso en móvil, Acceso en cualquier momento y desde cualquier lugar,,,,
